home_team,away_team,home_team_goals,away_team_goals,home_team_age,away_team_age,date
Japan,El Salvador,6,0,25.727272727272727,26.90909090909091,2023-06-15T10:10:00Z
Iraq,Japan,1,2,26.818181818181817,27.636363636363637,2024-01-19T11:30:00Z
Japan,Syria,5,0,26.363636363636363,28.727272727272727,2024-06-11T10:14:00Z
Syria,Japan,5,0,30.454545454545453,26.272727272727273,2023-11-21T14:45:00Z
Japan,Croatia,1,3,28.90909090909091,29.454545454545453,2022-12-05T15:00:00Z
Japan,Colombia,1,2,26.181818181818183,27.0,2023-03-28T10:20:00Z
Hong Kong,Iran,0,1,28.0,30.545454545454547,2024-01-19T17:30:00Z
Hong Kong,Iran,2,4,28.545454545454547,27.727272727272727,2024-06-06T12:00:00Z
Iran,Hong Kong,4,0,30.09090909090909,26.636363636363637,2023-11-16T14:30:00Z
Iran,Costa Rica,5,0,30.727272727272727,25.09090909090909,2026-03-31T13:00:00Z
Iran,Nicaragua,1,0,27.90909090909091,26.0,2022-11-10T16:00:00Z
Iran,Kenya,2,1,28.818181818181817,28.454545454545453,2023-03-28T17:00:00Z
England,Iran,6,2,26.09090909090909,28.90909090909091,2022-11-21T13:00:00Z
England,Iran,6,2,26.09090909090909,28.90909090909091,2022-11-21T13:00:00Z
Jordan,Iran,1,3,27.272727272727273,30.09090909090909,2023-10-13T18:00:00Z
Iran,Palestine,4,1,31.0,28.09090909090909,2024-01-14T17:30:00Z
Indonesia,Iran,0,5,23.09090909090909,30.181818181818183,2024-01-09T15:00:00Z
Russia,Iran,2,1,26.0,30.545454545454547,2025-10-10T17:00:00Z
Iran,Russia,1,1,29.545454545454547,25.636363636363637,2023-03-23T17:00:00Z
Iran,North Korea,3,0,27.727272727272727,25.272727272727273,2025-06-10T16:00:00Z
North Korea,Iran,2,3,25.181818181818183,28.818181818181817,2024-11-14T12:00:00Z
South Korea,Iran,2,0,30.0,28.90909090909091,2022-03-24T11:00:00Z
Iran,Uruguay,1,0,28.363636363636363,26.636363636363637,2022-09-23T16:00:00Z
